h|here|snippets|S
|OnePunch|file|
T|Themes|file|
spi|spicetify|file|
spice|spicetify|file|
|color.ini|file|
Th|Themes|file|
spic|spicetify|file|
D|Downloads|file|
nord_|nord_bg|around|
font|font_gruv_faded|around|
pulse|pulseaudio|around|
Vic|Victor|buffer|
|Pictures|file|
w|windows|around|
SWAY|SWAYSOCK|around|
Fira|FiraCode|buffer|
spotlight|spotlight.rasi|file|
spot|spotlight-dark.rasi|file|
|gruvbox.rasi|file|
co|config|around|
|current|file|
|LockScreen|file|
P|Pictures|file|
Mod|Mod4|around|
